title,price,model,features
"MSI GeForce RTX 2070 8GB GDRR6, 256-Bit Graphics Card (Used)","₨70,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor\xa0 RTX 2070', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA', 'Graphics RAM Type GDDR6']"
"MSI GeForce GTX 1060 6GB GDRR5, 192-bit  Graphics Card (Used)","₨37,000.00",Model not found,"['Brand MSI', 'Series GTX 1060 6G OCV1', 'Graphics Coprocessor\xa0 GTX 1060', 'Video Output Interface DP, DVI, HDMI', 'Chipset Brand NVIDIA']"
SAPPHIRE Radeon Pulse RX 5600 XT OC 6GB GDDR6 Graphics Card,"₨50,000.00",Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon Navi', 'Video Output Interface DisplayPort, HDMI', 'Chipset Brand AMD Graphics', 'RAM Type GDDR6']"
"ZOTAC RTX 3060 Ti, Twin Edge OC Graphics Card Used","₨88,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0 RTX 3060 Ti', 'Video Output Interface DP, HDMI', 'Chipset Brand ZOTAC', 'Graphics RAM Type GDDR6X']"
"ZOTAC RTX 2080 Ti AMP,11GB Graphics Card (Used)","₨87,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0 RTX 2080 Ti', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6']"
"ZOTAC RTX 2060 6GB, GDDR6, Gaming Graphics Card (Used)","₨52,000.00",Model not found,"['Brand ZOTAC', 'Graphics Coprocessor\xa0 RTX 2060', 'Video Output Interface DP, HDMI', 'Chipset Brand NVIDIA Graphics', 'RAM Type GDDR6']"
MSI GTX 1660 SUPER 6 GB GAMING X,"₨45,000.00",Model not found,"['Brand MSI', 'Graphics Coprocessor NVIDIA GeForce GTX 1660', 'Chipset Brand Nvidia', 'Video Output Interface\xa0HDMI', 'Graphics Ram Type GDDR6']"
Sapphire Pulse RX 570 4GB GDDR5 Graphics Card (Used),"₨20,000.00",Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon RX 570', 'Chipset Brand AMD Radeon RX 570', 'Series 11266-04-20G', 'Graphics Ram Type DRAM']"
MSI Gaming GeForce RTX 3090 – 24GB Graphics Card (Used),"₨210,000.00",Model not found,"['Brand MSI', 'Graphics RAM Size 24GB', 'Graphics Coprocessor\xa0 RTX 3090', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6X']"
ZOTAC GAMING GeForce RTX 3070 Twin – 8GB Graphics Card,"₨93,000.00",Model not found,"['Brand ZOTAC', 'Graphics RAM Size 8GB', 'Graphics Coprocessor\xa0 RTX 3070', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6']"
ZOTAC GAMING GeForce 3080 Trinity Graphics Card (Used),"₨130,000.00",Model not found,"['Brand ZOTAC', 'Graphics RAM Size 10GB', 'Graphics Coprocessor\xa0 RTX 3080', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR6']"
ZOTAC GAMING GeForce GTX 1660 – 6GB Graphics Card,"₨40,000.00",Model not found,"['Brand ZOTAC', 'Graphics RAM Size 6GB', 'Graphics Coprocessor\xa0 GTX 1660', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
Gigabyte RX 480 8GB G1 Gaming Graphics Card (Used),"₨23,000.00",Model not found,"['Brand Gigabyte', 'Graphics RAM Size 8GB', 'Graphics Coprocessor RX 480', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5']"
Gigabyte Radeon RX 580 Gaming 4GB Graphic Cards Used,"₨19,000.00",Model not found,"['Brand Gigabyte', 'Graphics Coprocessor AMD Radeon RX 580', 'Chipset Brand AMD', 'Graphics Ram Type GDDR5', 'Series GV-RX580GAMING-4GD']"
SAPPHIRE PULSE Radeon RX 560 4GB Graphic Card (Used),"₨24,000.00",Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor RX 560', 'Chipset Brand Nvidia', 'Graphics Ram Size 4 GB', 'Memory Speed 6000 MHz', 'Graphics Ram Type DDR SDRAM']"
Sapphire Nitro RX 470 4GB Graphic Card,"₨18,000.00",Model not found,"['Brand Sapphire Technology', 'Graphics Coprocessor AMD Radeon RX 470', 'Chipset Brand AMD', 'Graphics Ram Type DDR5 SDRAM']"
MSI RX 580 8GB OC ARMOR Graphic Cards (Used),"₨26,500.00",Model not found,"['Series Radeon RX 580 ARMOR 8G OC', 'Brand MSI', 'Graphics Coprocessor AMD FirePro V7900', 'Chipset Brand AMD Radeon RX 580', 'Graphics Ram Type GDDR5']"
MSI GeForce GTX 1650 SUPER GAMING X 4GB,"₨32,000.00",Model not found,"['Series NVIDIA GeForce GTX 1650', 'Brand MSI', 'Graphics Coprocessor NVIDIA GeForce GTX 1650', 'Chipset Brand Nvidia', 'Video Output Interface DisplayPort, HDMI', 'Graphics Ram Type GDDR6']"
MSI GTX 1080 Ti Gaming X – 11GB Graphics Card (Used),"₨55,000.00",Model not found,"['Brand MSI', 'Series GTX 1080 Ti GAMING X 11G', 'Graphics Coprocessor GTX 1080 Ti', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
MSI GeForce GTX 1070 Aero ITX OC 8GB Graphics Card (Used),"₨45,000.00",Model not found,"['Brand MSI', 'Series\xa0 GTX 1070 AERO ITX 8G OC', 'Graphics Coprocessor\xa0 GTX 1070', 'Chipset Brand Nvidia', 'Graphics Ram Type GDDR5']"
MSI GTX 1660 Ti GAMING X Graphics Cards (Used),"₨48,000.00",Model not found,"['Brand MSI', 'Series\xa0 GTX 1660 Ti GAMING X 6G', 'Graphics Coprocessor\xa0 GTX 1060', 'Video Output Interface DP, HDMI']"
MSI GTX 750Ti 2GB Graphics Card (Used),"₨16,500.00.",Model not found,"['Brand MSI', 'Graphics RAM Size 2GB', 'Graphics Coprocessor GTX 750Ti', 'Chipset Brand\xa0Nvidia', 'Graphics Ram Type\xa0GDDR5']"
